Date,Time,Location,Product,Price,Quantity,Customer_ID,Payment_Type,Revenue,inventory_level
2025-03-01,7:00,Loop,Latte,4.5,3,C2553,Card,13.5,280.4989210462512
2025-03-01,7:00,Loop,Muffin,2.5,1,C6785,Cash,2.5,267.8155351716164
2025-03-01,7:00,Loop,Croissant,3.0,2,C5375,Cash,6.0,316.05269397496534
2025-03-01,7:00,Loop,Latte,4.5,2,C2044,Cash,9.0,299.5799671005565
2025-03-01,7:00,Loop,Latte,4.5,1,C8491,Card,4.5,325.67978900101036
2025-03-01,7:00,Loop,Cold Brew,5.0,1,C9786,Cash,5.0,341.7838521023282
2025-03-01,7:00,Loop,Latte,4.5,3,C1896,Card,13.5,327.80151700082894
2025-03-01,7:00,Loop,Muffin,2.5,1,C8282,Cash,2.5,298.1295394912354
2025-03-01,7:00,Wicker Park,Cold Brew,5.0,2,C7588,Card,10.0,192.2942119277758
2025-03-01,7:00,Wicker Park,Latte,4.5,3,C4525,Cash,13.5,227.14368493948544
2025-03-01,7:00,Wicker Park,Cold Brew,5.0,2,C5898,Cash,10.0,229.10657869764395
2025-03-01,7:00,Wicker Park,Latte,4.5,3,C4555,Card,13.5,215.63700715166
2025-03-01,7:00,Wicker Park,Croissant,3.0,1,C7311,Card,3.0,202.75083658944388
2025-03-01,7:00,Wicker Park,Cold Brew,5.0,1,C7860,Card,5.0,227.86990594095047
2025-03-01,7:00,Hyde Park,Latte,4.5,2,C3479,Cash,9.0,135.58860003492921
2025-03-01,7:00,Hyde Park,Latte,4.5,3,C2004,Card,13.5,154.31182890760053
2025-03-01,8:00,Loop,Latte,4.5,3,C4688,Card,13.5,349.39262753075184
2025-03-01,8:00,Loop,Croissant,3.0,1,C8133,Card,3.0,311.5011347720889
2025-03-01,8:00,Loop,Croissant,3.0,1,C3023,Cash,3.0,287.68889718969456
2025-03-01,8:00,Loop,Muffin,2.5,3,C3895,Cash,7.5,327.30138528597
2025-03-01,8:00,Loop,Latte,4.5,2,C3591,Card,9.0,282.2520216761984
2025-03-01,8:00,Loop,Cold Brew,5.0,3,C7306,Card,15.0,286.1149900139415
2025-03-01,8:00,Loop,Croissant,3.0,3,C3415,Card,9.0,281.9902910299882
2025-03-01,8:00,Loop,Muffin,2.5,1,C4426,Card,2.5,322.4957374033239
2025-03-01,8:00,Wicker Park,Croissant,3.0,2,C6772,Cash,6.0,212.2591216833255
2025-03-01,8:00,Wicker Park,Cold Brew,5.0,3,C2505,Card,15.0,198.8819193369752
2025-03-01,8:00,Wicker Park,Cold Brew,5.0,1,C4869,Cash,5.0,208.5491080939388
